gate,category,entry_hour,units_sold,revenue
Gate A,Food,11,341,4306.5
Gate A,Food,12,788,9947.0
Gate A,Food,13,1277,16109.5
Gate A,Food,14,1692,21344.0
Gate A,Food,15,2228,28101.0
Gate A,Food,16,1055,13311.0
Gate A,Food,17,496,6264.0
Gate A,Food,18,634,8004.0
Gate A,Food,19,1509,19038.5
Gate A,Food,20,947,11948.0
Gate A,Food,21,450,5684.0
Gate A,Beverage - Non-Alcoholic,11,637,2821.0
Gate A,Beverage - Non-Alcoholic,12,1097,4860.8
Gate A,Beverage - Non-Alcoholic,13,1302,5766.0
Gate A,Beverage - Non-Alcoholic,14,1401,6206.2
Gate A,Beverage - Non-Alcoholic,15,1663,7365.6
Gate A,Beverage - Non-Alcoholic,16,1232,5456.0
Gate A,Beverage - Non-Alcoholic,17,789,3496.8
Gate A,Beverage - Non-Alcoholic,18,1086,4811.2
Gate A,Beverage - Non-Alcoholic,19,1920,8506.4
Gate A,Beverage - Non-Alcoholic,20,1442,6386.0
Gate A,Beverage - Non-Alcoholic,21,1187,5257.6
Gate A,Beverage - Alcoholic,11,216,1920.0
Gate A,Beverage - Alcoholic,12,622,5529.6
Gate A,Beverage - Alcoholic,13,1090,9696.0
Gate A,Beverage - Alcoholic,14,1557,13843.2
Gate A,Beverage - Alcoholic,15,1652,14688.0
Gate A,Beverage - Alcoholic,16,1306,11616.0
Gate A,Beverage - Alcoholic,17,881,7833.6
Gate A,Beverage - Alcoholic,18,1155,10272.0
Gate A,Beverage - Alcoholic,19,1964,17462.4
Gate A,Beverage - Alcoholic,20,518,4608.0
Gate A,Merchandise,11,142,6403.2
Gate A,Merchandise,12,158,7125.3
Gate A,Merchandise,13,178,8064.9
Gate A,Merchandise,14,180,8143.2
Gate A,Merchandise,15,210,9483.0
Gate A,Merchandise,16,145,6542.4
Gate A,Merchandise,17,148,6699.0
Gate A,Merchandise,18,133,6029.1
Gate A,Merchandise,19,162,7308.0
Gate A,Merchandise,20,175,7917.0
Gate A,Merchandise,21,309,13963.5
Gate B,Food,11,307,3891.6
Gate B,Food,12,724,9177.0
Gate B,Food,13,1258,15939.0
Gate B,Food,14,1796,22742.4
Gate B,Food,15,2071,26220.0
Gate B,Food,16,971,12295.8
Gate B,Food,17,431,5464.8
Gate B,Food,18,640,8114.4
Gate B,Food,19,1558,19734.0
Gate B,Food,20,854,10819.2
Gate B,Food,21,444,5630.4
Gate B,Beverage - Non-Alcoholic,11,737,3245.0
Gate B,Beverage - Non-Alcoholic,12,1039,4578.4
Gate B,Beverage - Non-Alcoholic,13,1326,5841.0
Gate B,Beverage - Non-Alcoholic,14,1547,6814.5
Gate B,Beverage - Non-Alcoholic,15,1720,7575.6
Gate B,Beverage - Non-Alcoholic,16,1093,4814.4
Gate B,Beverage - Non-Alcoholic,17,747,3292.2
Gate B,Beverage - Non-Alcoholic,18,1018,4484.0
Gate B,Beverage - Non-Alcoholic,19,2063,9086.0
Gate B,Beverage - Non-Alcoholic,20,1273,5605.0
Gate B,Beverage - Non-Alcoholic,21,986,4342.4
Gate B,Beverage - Alcoholic,11,197,1766.4
Gate B,Beverage - Alcoholic,12,655,5851.2
Gate B,Beverage - Alcoholic,13,1081,9660.0
Gate B,Beverage - Alcoholic,14,1542,13781.6
Gate B,Beverage - Alcoholic,15,1698,15170.8
Gate B,Beverage - Alcoholic,16,1178,10524.8
Gate B,Beverage - Alcoholic,17,824,7360.0
Gate B,Beverage - Alcoholic,18,1071,9568.0
Gate B,Beverage - Alcoholic,19,1803,16109.2
Gate B,Beverage - Alcoholic,20,484,4324.0
Gate B,Merchandise,11,155,7019.2
Gate B,Merchandise,12,157,7084.8
Gate B,Merchandise,13,158,7158.6
Gate B,Merchandise,14,150,6789.6
Gate B,Merchandise,15,172,7790.0
Gate B,Merchandise,16,145,6560.0
Gate B,Merchandise,17,136,6141.8
Gate B,Merchandise,18,117,5280.8
Gate B,Merchandise,19,145,6560.0
Gate B,Merchandise,20,176,7954.0
Gate B,Merchandise,21,275,12423.0
Gate C,Food,11,238,2998.8
Gate C,Food,12,612,7711.2
Gate C,Food,13,855,10771.2
Gate C,Food,14,1166,14688.0
Gate C,Food,15,1585,19961.4
Gate C,Food,16,743,9363.6
Gate C,Food,17,333,4202.4
Gate C,Food,18,515,6487.2
Gate C,Food,19,1010,12729.6
Gate C,Food,20,660,8323.2
Gate C,Food,21,317,3998.4
Gate C,Beverage - Non-Alcoholic,11,500,2300.0
Gate C,Beverage - Non-Alcoholic,12,728,3348.8
Gate C,Beverage - Non-Alcoholic,13,1050,4830.0
Gate C,Beverage - Non-Alcoholic,14,1078,4958.8
Gate C,Beverage - Non-Alcoholic,15,1296,5961.6
Gate C,Beverage - Non-Alcoholic,16,808,3716.8
Gate C,Beverage - Non-Alcoholic,17,564,2594.4
Gate C,Beverage - Non-Alcoholic,18,848,3900.8
Gate C,Beverage - Non-Alcoholic,19,1484,6826.4
Gate C,Beverage - Non-Alcoholic,20,1100,5060.0
