department,category,budgeted_amount,actual_amount,variance_amount
Security,Direct Labor,2000000.0,2120000.0,120000.0
Security,Security Technology & K9,450000.0,468000.0,18000.0
Security,Equipment & AV,150000.0,142000.0,-8000.0
Security,Insurance & Risk Management,400000.0,410000.0,10000.0
Security,Coordination & Overhead,200000.0,214000.0,14000.0
Guest Services,Direct Labor,950000.0,906000.0,-44000.0
Guest Services,Equipment & AV,100000.0,92000.0,-8000.0
Guest Services,Coordination & Overhead,250000.0,240600.0,-9400.0
Guest Services,Contingency Reserve,150000.0,154000.0,4000.0
Concessions & Merchandise,Direct Labor,1400000.0,1462000.0,62000.0
Concessions & Merchandise,Equipment & AV,200000.0,210000.0,10000.0
Concessions & Merchandise,Facilities & Site Prep,250000.0,268400.0,18400.0
Concessions & Merchandise,Coordination & Overhead,250000.0,247000.0,-3000.0
Medical Services,Direct Labor,420000.0,405000.0,-15000.0
Medical Services,Equipment & AV,80000.0,76000.0,-4000.0
Medical Services,Insurance & Risk Management,90000.0,87500.0,-2500.0
Medical Services,Coordination & Overhead,30000.0,30000.0,0.0
Parking & Transportation,Direct Labor,620000.0,660000.0,40000.0
Parking & Transportation,Equipment & AV,80000.0,92000.0,12000.0
Parking & Transportation,Facilities & Site Prep,150000.0,165300.0,15300.0
Parking & Transportation,Coordination & Overhead,130000.0,125000.0,-5000.0
Broadcast & Media Operations,Direct Labor,850000.0,815000.0,-35000.0
Broadcast & Media Operations,Equipment & AV,700000.0,668000.0,-32000.0
Broadcast & Media Operations,Coordination & Overhead,200000.0,196600.0,-3400.0
Broadcast & Media Operations,Contingency Reserve,100000.0,100000.0,0.0
Cleaning & Facilities,Direct Labor,480000.0,500000.0,20000.0
Cleaning & Facilities,Equipment & AV,60000.0,58000.0,-2000.0
Cleaning & Facilities,Facilities & Site Prep,150000.0,158900.0,8900.0
Cleaning & Facilities,Coordination & Overhead,50000.0,46000.0,-4000.0
