gate,zone,entry_hour,fans_entered,avg_wait_time_minutes
Gate A,North,11,400,1.2
Gate A,North,12,900,1.8
Gate A,North,13,1500,2.1
Gate A,North,14,2600,3.8
Gate A,North,15,2900,6.5
Gate A,North,16,900,11.2
Gate B,South,11,380,1.3
Gate B,South,12,850,2.0
Gate B,South,13,1400,2.4
Gate B,South,14,2500,4.1
Gate B,South,15,3000,7.2
Gate B,South,16,1000,12.8
Gate C,East,11,300,1.1
Gate C,East,12,650,1.7
Gate C,East,13,1100,2.0
Gate C,East,14,1900,3.5
Gate C,East,15,2200,6.0
Gate C,East,16,700,10.5
Gate D,West,11,290,1.2
Gate D,West,12,620,1.8
Gate D,West,13,1050,2.2
Gate D,West,14,1850,3.7
Gate D,West,15,2150,6.3
Gate D,West,16,750,10.9
Gate E,Club Level,11,150,0.8
Gate E,Club Level,12,350,1.3
Gate E,Club Level,13,600,1.5
Gate E,Club Level,14,1000,2.8
Gate E,Club Level,15,1100,4.2
Gate E,Club Level,16,250,6.0
Gate F,Suites,11,80,0.6
Gate F,Suites,12,180,0.9
Gate F,Suites,13,300,1.0
Gate F,Suites,14,500,1.8
Gate F,Suites,15,550,2.5
Gate F,Suites,16,120,3.2
