sponsor,revenue_category,days_to_game,amount
Apex Beverage Co.,Signage & Activation,58,7400000.0
Apex Beverage Co.,Signage & Activation,30,6475000.0
Apex Beverage Co.,Signage & Activation,7,4625000.0
Apex Beverage Co.,Broadcast Ad Package,45,5520000.0
Apex Beverage Co.,Broadcast Ad Package,14,3680000.0
IronPeak Financial,Suite Package & Signage,55,2560000.0
IronPeak Financial,Suite Package & Signage,28,2240000.0
IronPeak Financial,Suite Package & Signage,6,1600000.0
Velocity Motors,Broadcast Ad Package,45,4680000.0
Velocity Motors,Broadcast Ad Package,14,3120000.0
NimbusTech,Suite Package,50,1860000.0
NimbusTech,Suite Package,20,1240000.0
NimbusTech,Halftime Show Activation,5,1800000.0
Guardian Insurance Group,Signage,52,2550000.0
Guardian Insurance Group,Signage,18,1700000.0
Stride Athletic Apparel,Activation Space,40,1740000.0
Stride Athletic Apparel,Activation Space,12,1160000.0
Crestline Streaming Co.,Digital Streaming Rights,50,2800000.0
Crestline Streaming Co.,Digital Streaming Rights,10,2800000.0
