tier,channel,days_to_game,quantity_sold,unit_price,gross_revenue
Upper Bowl,Season Ticket Holder Allocation,50,191,940.5,179635.5
Lower Bowl,Season Ticket Holder Allocation,50,200,2424.0,484800.0
Club Level,Season Ticket Holder Allocation,50,156,4752.0,741312.0
Upper Bowl,Season Ticket Holder Allocation,51,218,940.5,205029.0
Lower Bowl,Season Ticket Holder Allocation,51,196,2424.0,475104.0
Club Level,Season Ticket Holder Allocation,51,157,4848.0,761136.0
Upper Bowl,Season Ticket Holder Allocation,52,177,940.5,166468.5
Lower Bowl,Season Ticket Holder Allocation,52,161,2400.0,386400.0
Club Level,Season Ticket Holder Allocation,52,203,4752.0,964656.0
Upper Bowl,Season Ticket Holder Allocation,53,180,940.5,169290.0
Lower Bowl,Season Ticket Holder Allocation,53,220,2400.0,528000.0
Club Level,Season Ticket Holder Allocation,53,157,4848.0,761136.0
Upper Bowl,Season Ticket Holder Allocation,54,165,940.5,155182.5
Lower Bowl,Season Ticket Holder Allocation,54,230,2424.0,557520.0
Club Level,Season Ticket Holder Allocation,54,224,4752.0,1064448.0
Upper Bowl,Season Ticket Holder Allocation,55,223,959.5,213968.5
Lower Bowl,Season Ticket Holder Allocation,55,200,2376.0,475200.0
Club Level,Season Ticket Holder Allocation,55,178,4752.0,845856.0
Upper Bowl,Season Ticket Holder Allocation,56,221,940.5,207850.5
Lower Bowl,Season Ticket Holder Allocation,56,187,2400.0,448800.0
Club Level,Season Ticket Holder Allocation,56,168,4848.0,814464.0
Upper Bowl,Season Ticket Holder Allocation,57,165,959.5,158317.5
Lower Bowl,Season Ticket Holder Allocation,57,189,2424.0,458136.0
Club Level,Season Ticket Holder Allocation,57,237,4752.0,1126224.0
Upper Bowl,Season Ticket Holder Allocation,58,163,959.5,156398.5
Lower Bowl,Season Ticket Holder Allocation,58,223,2424.0,540552.0
Club Level,Season Ticket Holder Allocation,58,174,4800.0,835200.0
Upper Bowl,Public On-Sale,5,176,1007.48,177316.48
Lower Bowl,Public On-Sale,5,174,2545.2,442864.8
Standing Room / Party Deck,Public On-Sale,5,173,689.33,119254.09
Upper Bowl,Public On-Sale,6,180,997.5,179550.0
Lower Bowl,Public On-Sale,6,201,2520.0,506520.0
Standing Room / Party Deck,Public On-Sale,6,187,682.5,127627.5
Upper Bowl,Public On-Sale,7,201,997.5,200497.5
Lower Bowl,Public On-Sale,7,187,2494.8,466527.6
Standing Room / Party Deck,Public On-Sale,7,179,702.98,125833.42
Upper Bowl,Public On-Sale,8,172,1017.45,175001.4
Lower Bowl,Public On-Sale,8,176,2444.4,430214.4
