discount_level,pct_orders_2014,pct_orders_2015,pct_orders_2016,pct_orders_2017,pct_orders_total,profit_2014,profit_2015,profit_2016,profit_2017,profit_total
0,0.4701455092824887,0.4866793529971456,0.4824120603015075,0.48007246376811596,0.48008805283169903,58617.166500000065,68870.75659999998,89341.96790000005,104157.71220000002,320987.6032000001
0.1,0.007526342197691922,0.012844909609895337,0.009277155005798222,0.008454106280193236,0.009405643386031618,1285.0918,2392.4853000000003,2051.007,3300.5929,9029.177
0.15,0.006522829904666332,0.005708848715509039,0.004252029377657518,0.004830917874396135,0.005203121873123874,109.05930000000002,205.61390000000003,566.7854,537.5329,1418.9915
0.2,0.3743100852985449,0.3553758325404377,0.36374178585233863,0.36926328502415456,0.36591955173103863,17576.534800000012,18554.912400000034,21192.52739999999,33013.33140000004,90337.30600000007
0.3,0.025087807325639738,0.02235965746907707,0.02396598376497874,0.020531400966183576,0.022713628176906142,-1981.4933,-2200.1043,-2320.0775999999996,-3867.602200000001,-10369.2774
0.32,0.0015052684395383843,0.003330161750713606,0.0023192887514495554,0.003321256038647343,0.0027016209725835502,-130.10430000000002,-796.3925999999999,-972.4108,-492.23,-2391.1376999999998
0.4,0.022579026593075764,0.01807802093244529,0.020873598763045998,0.020833333333333332,0.02061236742045227,-6869.733500000001,-5154.9761,-3199.1947,-7833.146100000002,-23057.050400000004
0.45,0.0005017561465127947,0.0014272121788772598,0.0011596443757247777,0.0012077294685990338,0.0011006603962377428,-110.7645,-616.6467,-537.2592999999999,-1228.4406,-2493.1111
0.5,0.008529854490717512,0.005233111322549952,0.007344414379590259,0.005736714975845411,0.006603962377426456,-5640.6087,-3887.0850000000005,-4114.3461,-6864.3883,-20506.428099999997
0.6,0.015052684395383844,0.012369172216936251,0.01662156938538848,0.01177536231884058,0.01380828497098259,-627.6601000000002,-1051.8533,-2296.2641,-1968.8777000000002,-5944.6552
0.7,0.03462117410938284,0.04567078972407231,0.04445303440278315,0.041666666666666664,0.04182509505703422,-4167.4659,-10379.634999999998,-13457.504899999998,-12070.751099999998,-40075.3569
0.8,0.03361766181635725,0.03092293054234063,0.023579435639737148,0.03230676328502415,0.03001801080648389,-8516.048,-4318.4715,-4460.055900000002,-13244.463799999998,-30539.0392
