player_name,team,position,position_raw,age,club_name,birth_year,matches_played,starts,total_minutes_tournament,nineties,total_goals_tournament,total_assists_tournament,goals_plus_assists,non_penalty_goals,penalty_goals,penalty_attempts,yellow_cards_tournament,red_cards_tournament,goals_per90,assists_per90
Brenden Aaronson,USA,Midfielder,MF,25,1.eng Leeds United,2000,1,1,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0
Thelo Aasgaard,Norway,Midfielder,MF,24,1.sct Rangers,2002,1,1,90,1.0,1,0,1,1,0,0,0,0,1.0,0.0
Hamza Abdelkarim,Egypt,Forward,FW,18,4.es Barcelona B,2008,4,0,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0
Hossam Abdelmaguid,Egypt,Defender,DF,25,1.eg Zamalek SC,2001,2,0,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0
Mohamed Abdelmonem,Egypt,Defender,DF,27,1.fr Nice,1999,2,1,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0
Ali Abdi,Tunisia,Defender,DF,32,1.fr Nice,1993,3,3,269,3.0,0,0,0,0,0,0,0,0,0.0,0.0
Saud Abdulhamid,Saudi Arabia,Defender,DF,26,1.fr Lens,1999,3,3,269,3.0,0,0,0,0,0,0,1,0,0.0,0.0
Abdulla Abdullaev,Uzbekistan,Defender,DF,28,1.ae Dibba Al Fujairah,1997,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0
Yusuf Abdurisag,Qatar,Forward,FW,26,1.qa Al-Wakrah,1999,2,2,98,1.1,0,0,0,0,0,0,0,0,0.0,0.0
Husam Abu Dahab,Jordan,Defender,DF,26,1.kw Al-Salmiya SC,2000,2,2,178,2.0,0,0,0,0,0,0,1,0,0.0,0.0
Mohammad Abu Hasheesh,Jordan,Defender,DF,31,1.iq Al-Karma,1995,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0
Mohannad Abu Taha,Jordan,Defender,DF,23,1.iq Al-Quwa Al-Jawiya,2003,3,3,264,2.9,0,0,0,0,0,0,1,0,0.0,0.0
Mo Abualnadi,Jordan,Defender,DF,25,1.my Selangor FA,2001,1,1,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0
Yazeed Abulaila,Jordan,Goalkeeper,GK,33,1.jo Al-Hussein SC,1993,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0
Mahmoud Abunada,Qatar,Goalkeeper,GK,26,1.qa Al Rayyan SC,2000,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0
Elias Achouri,Tunisia,Forward,FWMF,27,1.dk FC Copenhagen,1999,3,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0
Ché Adams,Scotland,Forward,FW,29,1.it Torino,1996,3,2,145,1.6,0,0,0,0,0,0,0,0,0.0,0.0
Jayden Adams,South Africa,Midfielder,MF,25,1.za Sundowns,2001,3,2,116,1.3,0,0,0,0,0,0,0,0,0.0,0.0
Tyler Adams,USA,Midfielder,MF,27,1.eng Bournemouth,1999,4,4,341,3.8,0,0,0,0,0,0,1,0,0.0,0.0
Ricardo Adé,Haiti,Defender,DF,36,1.ec LDU Quito,1990,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0
Ibrahim Adel,Egypt,Midfielder,MF,25,1.dk Nordsjælland,2001,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Simon Adingra,Côte d'Ivoire,Forward,FWMF,24,1.fr Monaco,2002,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0
Jonas Adjetey,Ghana,Defender,DF,22,1.de Wolfsburg,2003,3,3,225,2.5,0,0,0,0,0,0,0,0,0.0,0.0
Michel Aebischer,Switzerland,Midfielder,MFFW,29,1.it Pisa,1997,4,2,156,1.7,0,0,0,0,0,0,0,0,0.0,0.0
Akram Afif,Qatar,Forward,FWMF,29,1.qa Al Sadd,1996,3,3,238,2.6,0,0,0,0,0,0,0,0,0.0,0.0
